ID,Tipo,REF,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição breve",Descrição,"Data de início do preço promocional","Data de término do preço promocional","Situação fiscal","Classe de imposto","Em stock?",Stock,"Valor de stock baixo","Permitir encomendas pendentes?","Vender Individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da encomenda","Preço promocional","Preço normal",Categorias,Etiquetas,"Classe de envio",Imagens,"Limite de descarregamento","Dias para expirar o descarregamento",Pai,"Produtos agrupados","Aumenta vendas","Vendas cruzadas","URL externo","Texto do botão",Posição,"Swatches Attributes","Atributo 1 nome","Atributo 1 valor(es)","Atributo 1 visível","Atributo 1 global","Atributo 2 nome","Atributo 2 valor(es)","Atributo 2 visível","Atributo 2 global","Atributo 2 por omissão","Metadados: woocommerce_disable_product_enquiry","Metadados: _override_tab_layout","Metadados: _global_tab_18477_content","Metadados: _yoast_wpseo_content_score","Metadados: _yith_wccl_variable_in_loop","Metadados: _global_tab_42095_content","Metadados: fb_product_group_id","Metadados: slide_template","Metadados: rs_page_bg_color","Metadados: outofstock","Metadados: fusion_builder_status","Metadados: fb_product_item_id","Metadados: _yith_wccl_in_loop","Metadados: _wc_facebook_sync_enabled","Metadados: fb_visibility","Metadados: fb_product_description","Metadados: _wc_facebook_product_image_source","Metadados: fb_product_image","Metadados: fb_product_price","Metadados: _wp_page_template","Metadados: cartflows_redirect_flow_id","Metadados: cartflows_add_to_cart_text","Metadados: site-sidebar-layout","Metadados: site-content-layout","Metadados: theme-transparent-header-meta","Metadados: _yoast_wpseo_estimated-reading-time-minutes","Atributo 3 nome","Atributo 3 valor(es)","Atributo 3 visível","Atributo 3 global","Atributo 3 por omissão"
3419,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,variation,,,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
